LogFile, DateTime, File, StudyCase
1640967040,2021-12-31 11:10:40.629975,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación media en el Departamento del Cesar - Colombia - Suramérica"
1640968459,2021-12-31 11:34:58.461267,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación media en el Departamento del Cesar - Colombia - Suramérica"
1640972525,2021-12-31 12:54:35.844443,D:/R.GISPython/TableInterpolatedGrid/Data/Sample2PrecipitationAverageDaily.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
1640974482,2021-12-31 13:15:35.854447,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
1640978924,2021-12-31 14:29:38.549716,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
1641048709,2022-01-01 09:53:21.338125,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
1641052982,2022-01-01 11:04:22.862820,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
1641057601,2022-01-01 12:21:45.276000,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitaciÃ³n diaria media en el Departamento del Cesar - Colombia - SuramÃ©rica"
1641060609,2022-01-01 13:39:34.406819,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
1641134558,2022-01-02 09:43:31.151177,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
1641137231,2022-01-02 10:28:48.237000,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitaciÃ³n diaria media en el Departamento del Cesar - Colombia - SuramÃ©rica"
1641137918,2022-01-02 10:39:32.604253,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
1641138062,2022-01-02 10:41:50.829955,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
1641139373,2022-01-02 11:04:11.985181,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
1641140142,2022-01-02 11:17:11.197153,D:/R.GISPython/TableInterpolatedGrid/Data/Sample3PrecipitationAverageMonthly.csv,"Estudio de la precipitación diaria media en el Departamento del Cesar - Colombia - Suramérica"
