,SUBZONA_HIDROGRAFICA
Río Chicamocha,0.035380507343124167
Río Lebrija y otros directos al Magdalena,0.032932799287939477
Río Bogotá,0.030485091232754783
Bajo San Jorge - La Mojana,0.030485091232754783
Río Suárez,0.02336448598130841
Bajo Sinú,0.02113929684023142
Río Ranchería,0.019581664441477527
Canal del Dique margen izquierda,0.019359145527369826
Río Zulia,0.017356475300400534
Cga Grande de Santa Marta,0.01579884290164664
Directos Bajo Magdalena entre El Banco y El Plato,0.015131286159323543
Medio Cesar,0.014908767245215844
Río Garagoa,0.013573653760569649
Río Lagunilla y Otros Directos al Magdalena,0.012238540275923453
Río Coello,0.011793502447708056
Río Otún y otros directos al Cauca,0.011570983533600357
Río Algodonal (Alto Catatumbo),0.011348464619492658
Río Nare,0.011125945705384957
Rio Fortalecillas y otros,0.01045838896306186
Alto Río Putumayo,0.01045838896306186
Canal del Dique margen derecho,0.010235870048954161
Río Páez,0.009568313306631064
Río Guayuriba,0.009123275478415665
Río Negro,0.008900756564307966
Río Porce,0.008900756564307966
Río Ariguaní,0.008678237650200267
Directos Río Cauca  entre Río San Juan y  Pto Valdivia,0.008233199821984869
Río Guavio,0.008233199821984869
Río Carare (Minero),0.00801068090787717
Río Sumapaz,0.00778816199376947
Río León,0.00778816199376947
Río Guáitara,0.0075656430796617715
Río Ariari,0.0075656430796617715
Río Patia Alto,0.007343124165554072
Alto Caqueta,0.007120605251446373
Río Pamplonita,0.007120605251446373
Río Juananbú,0.007120605251446373
Bajo Cesar,0.006898086337338674
"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",0.006898086337338674
Río La Vieja,0.006898086337338674
Alto Río Cauca,0.006675567423230975
Alto Cesar,0.006675567423230975
Medio Sinú,0.006453048509123275
Rios Pescador - RUT - Chanco - Catarina y Cañaveral,0.006453048509123275
Río Chinchiná,0.006453048509123275
Alto Magdalena,0.006008010680907877
Río Guatiquía,0.005785491766800178
Río Orteguaza,0.005785491766800178
Directos Río Cauca entre Río San Juan y Pto Valdia,0.005785491766800178
Río Fonce,0.005785491766800178
Río Yaguará y Río Iquira,0.0055629728526924785
Río Lengupá,0.0055629728526924785
Río Sogamoso,0.0055629728526924785
Río  Piedras - Río Manzanares,0.0053404539385847796
Río Cusiana,0.005117935024477081
Bajo Nechí (md),0.005117935024477081
Río Prado,0.005117935024477081
Directos Caribe - Ay.Sharimahana Alta Guajira,0.005117935024477081
Alto Sinú - Urrá,0.004895416110369382
Río Cabrera,0.004895416110369382
"Río Nuevo Presidente - Tres Bocas (Sardinata, Tibu)",0.004895416110369382
