,FECHA_INSTALACION
1954.0,9
1978.0,124
1934.0,7
2012.0,6
1996.0,13
1981.0,75
1969.0,72
1937.0,4
1994.0,33
2002.0,7
2004.0,59
2019.0,24
1928.0,1
2003.0,7
1982.0,40
1990.0,65
1947.0,3
1948.0,5
1967.0,94
1933.0,1
1950.0,2
2015.0,19
1968.0,107
1956.0,12
1992.0,42
1930.0,2
1946.0,14
1989.0,40
1966.0,77
1979.0,164
1988.0,28
1999.0,17
2009.0,12
1980.0,157
1987.0,60
1965.0,81
1958.0,117
1900.0,1
1953.0,11
1945.0,5
1995.0,23
1977.0,86
2018.0,64
1942.0,2
1915.0,1
1949.0,1
2014.0,45
2005.0,99
1998.0,4
1932.0,6
2021.0,5
2020.0,4
1955.0,13
1962.0,43
1957.0,22
1944.0,3
1975.0,110
1936.0,3
1959.0,64
1943.0,1
2001.0,14
1986.0,112
2013.0,12
1976.0,92
1972.0,173
1924.0,1
1974.0,242
1970.0,158
2000.0,6
1964.0,72
1960.0,39
1940.0,7
1929.0,1
1952.0,8
2007.0,29
2016.0,43
1983.0,175
2008.0,19
1941.0,4
1984.0,152
1931.0,10
2006.0,21
1997.0,31
1973.0,213
1985.0,71
1922.0,3
1971.0,250
1991.0,26
2010.0,14
1961.0,26
1951.0,5
2017.0,100
1939.0,1
1993.0,30
2011.0,9
1963.0,106
