,SUBZONA_HIDROGRAFICA
Río Chicamocha,0.03556345854634363
Río Lebrija y otros directos al Magdalena,0.03311847077128251
Bajo San Jorge - La Mojana,0.030451211380306736
Río Bogotá,0.030451211380306736
Río Suárez,0.02333851967103801
Bajo Sinú,0.02111580351189153
Río Ranchería,0.019559902200488997
Canal del Dique margen izquierda,0.01933763058457435
Río Zulia,0.01733718604134252
Cga Grande de Santa Marta,0.015781284729939987
Directos Bajo Magdalena entre El Banco y El Plato,0.015114469882196044
Medio Cesar,0.014892198266281395
Río Garagoa,0.01355856857079351
Río Lagunilla y Otros Directos al Magdalena,0.012224938875305624
Río Coello,0.011780395643476329
Río Otún y otros directos al Cauca,0.01155812402756168
Río Algodonal (Alto Catatumbo),0.011335852411647033
Río Nare,0.011113580795732384
Rio Fortalecillas y otros,0.010446765947988441
Alto Río Putumayo,0.010446765947988441
Canal del Dique margen derecho,0.010224494332073794
Río Páez,0.009557679484329852
Río Guayuriba,0.009113136252500556
Río Negro,0.008890864636585907
Río Porce,0.008890864636585907
Río Ariguaní,0.00866859302067126
Directos Río Cauca  entre Río San Juan y  Pto Valdivia,0.008224049788841965
Río Guavio,0.008224049788841965
Río Sumapaz,0.008001778172927318
Río Carare (Minero),0.008001778172927318
Río León,0.00777950655701267
Río Guáitara,0.007557234941098022
Río Ariari,0.007557234941098022
Río Patia Alto,0.007334963325183374
Río Juananbú,0.007334963325183374
Alto Caqueta,0.007112691709268726
Río Pamplonita,0.007112691709268726
"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",0.006890420093354078
Río La Vieja,0.006890420093354078
Bajo Cesar,0.006890420093354078
Alto Cesar,0.006668148477439431
Alto Río Cauca,0.006668148477439431
Rios Pescador - RUT - Chanco - Catarina y Cañaveral,0.0064458768615247835
Río Chinchiná,0.0064458768615247835
Medio Sinú,0.0064458768615247835
Alto Magdalena,0.006001333629695488
Río Guatiquía,0.00577906201378084
Río Orteguaza,0.00577906201378084
Directos Río Cauca entre Río San Juan y Pto Valdia,0.00577906201378084
Río Fonce,0.00577906201378084
Río Lengupá,0.005556790397866192
Río Yaguará y Río Iquira,0.005556790397866192
Río Sogamoso,0.005556790397866192
Río  Piedras - Río Manzanares,0.005334518781951545
Río Cusiana,0.005112247166036897
Río Prado,0.005112247166036897
Directos Caribe - Ay.Sharimahana Alta Guajira,0.005112247166036897
Bajo Nechí (md),0.005112247166036897
Río Cabrera,0.004889975550122249
"Río Nuevo Presidente - Tres Bocas (Sardinata, Tibu)",0.004889975550122249
Alto Sinú - Urrá,0.004889975550122249
Río Frío y Otros Directos al Cauca,0.0046677039342076015
Rió San Bartolo y otros directos al Magdalena Medio,0.0046677039342076015
Río Caqueta Bajo,0.0046677039342076015
Directos al Bajo Magdalena entre Calamar y desembocadura,0.0046677039342076015
Directos al Magdalena (Brazo Morales),0.0046677039342076015
Río Sucio,0.0046677039342076015
Río Risaralda,0.0046677039342076015
Quebrada El Carmen y Otros Directos al Magdalena,0.004445432318292954
Rio Metica (Guamal - Humadea),0.004445432318292954
Río Baché,0.004445432318292954
Río Guachicono,0.004445432318292954
Río Totare,0.004445432318292954
Lago de Tota,0.004223160702378307
