,SUBZONA_HIDROGRAFICA
Río Chicamocha,0.03539626001780944
Río Lebrija y otros directos al Magdalena,0.03294746215494212
Bajo San Jorge - La Mojana,0.030943900267141587
Río Bogotá,0.0304986642920748
Río Suárez,0.023374888691006235
Bajo Sinú,0.021148708815672306
Río Ranchería,0.019590382902938557
Canal del Dique margen izquierda,0.019367764915405164
Río Zulia,0.017364203027604632
Cga Grande de Santa Marta,0.015805877114870883
Directos Bajo Magdalena entre El Banco y El Plato,0.015138023152270703
Medio Cesar,0.01491540516473731
Río Garagoa,0.013579697239536954
Río Lagunilla y Otros Directos al Magdalena,0.012243989314336599
Río Coello,0.011798753339269812
Río Otún y otros directos al Cauca,0.01157613535173642
Río Nare,0.011353517364203028
Río Algodonal (Alto Catatumbo),0.011353517364203028
Alto Río Putumayo,0.010463045414069456
Rio Fortalecillas y otros,0.010463045414069456
Canal del Dique margen derecho,0.010240427426536063
Río Páez,0.009572573463935885
Río Guayuriba,0.0091273374888691
Río Porce,0.0091273374888691
Río Negro,0.008904719501335707
Río Ariguaní,0.008682101513802316
Río Guavio,0.00823686553873553
Directos Río Cauca  entre Río San Juan y  Pto Valdivia,0.008014247551202136
Río Carare (Minero),0.008014247551202136
Río León,0.007791629563668744
Río Sumapaz,0.007791629563668744
Río Guáitara,0.007569011576135352
Río Ariari,0.007569011576135352
Río Patia Alto,0.007346393588601959
Río Pamplonita,0.007123775601068566
Río Juananbú,0.007123775601068566
Alto Caqueta,0.007123775601068566
"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",0.006901157613535174
Río La Vieja,0.006901157613535174
Bajo Cesar,0.006901157613535174
Alto Cesar,0.006678539626001781
Alto Río Cauca,0.006678539626001781
Rios Pescador - RUT - Chanco - Catarina y Cañaveral,0.006455921638468388
Medio Sinú,0.006455921638468388
Río Chinchiná,0.006455921638468388
Directos Río Cauca entre Río San Juan y Pto Valdia,0.006010685663401603
Alto Magdalena,0.006010685663401603
Río Guatiquía,0.00578806767586821
Río Orteguaza,0.00578806767586821
Río Fonce,0.00578806767586821
Río Sogamoso,0.005565449688334817
Río Yaguará y Río Iquira,0.005565449688334817
Río Lengupá,0.005565449688334817
Río  Piedras - Río Manzanares,0.005342831700801425
Bajo Nechí (md),0.005120213713268032
Río Cusiana,0.005120213713268032
Río Prado,0.005120213713268032
Directos Caribe - Ay.Sharimahana Alta Guajira,0.005120213713268032
"Río Nuevo Presidente - Tres Bocas (Sardinata, Tibu)",0.004897595725734639
Río Sucio,0.004897595725734639
Alto Sinú - Urrá,0.004897595725734639
Río Frío y Otros Directos al Cauca,0.004897595725734639
Río Cabrera,0.004897595725734639
Río Risaralda,0.004674977738201247
Río Caqueta Bajo,0.004674977738201247
Directos al Magdalena (Brazo Morales),0.004674977738201247
Rió San Bartolo y otros directos al Magdalena Medio,0.004674977738201247
Río Totare,0.004452359750667854
Quebrada El Carmen y Otros Directos al Magdalena,0.004452359750667854
Río Baché,0.004452359750667854
Rio Metica (Guamal - Humadea),0.004452359750667854
Río Guachicono,0.004452359750667854
Lago de Tota,0.004229741763134461
Arroyos Directos al Caribe,0.004229741763134461
Alto Nechí,0.004229741763134461
Directos al Bajo Magdalena entre Calamar y desembocadura,0.004229741763134461
Directos Caribe Golfo de Morrosquillo,0.004007123775601068
Río San Juan,0.004007123775601068
"Río Aipe, Río Chenche y otros directos al Magdalena",0.004007123775601068
Río Opón,0.003784505788067676
Río Chítaga,0.003784505788067676
Río Gualí,0.003784505788067676
Río Palo,0.003784505788067676
Bajo Vaupés,0.003561887800534283
Rio Neiva,0.003561887800534283
Río Arma,0.003561887800534283
Río San Juan del Micay,0.003561887800534283
Río Cimitarra y otros directos al Magdalena,0.003561887800534283
Río Guachal (Bolo - Fraile y Párraga),0.0033392698130008903
Bajo Saldaña,0.0033392698130008903
Ríos Directos al Magdalena (mi),0.0033392698130008903
Río Luisa y otros directos al Magdalena,0.0033392698130008903
Río Mira,0.0033392698130008903
Medio Guaviare,0.0033392698130008903
Rio Banadia y otros Directos al Río Arauca,0.0033392698130008903
Dagua - Buenaventura - Bahia Málaga,0.0033392698130008903
Rïo Cucuana,0.003116651825467498
Río Mulatos y otros directos al Caribe,0.003116651825467498
Río Taraza - Río Man,0.003116651825467498
Río Tamaná y otros Directos San Juan,0.003116651825467498
Río Casanare,0.003116651825467498
Directos Río Amazonas (mi),0.003116651825467498
Rio Tapias y otros directos al Cauca,0.003116651825467498
Alto Saldaña,0.003116651825467498
Río Cravo Sur,0.002894033837934105
Juncal y otros Rios directos al Magdalena,0.002894033837934105
Ríos directos Magdalena (md),0.002894033837934105
Directos al Bajo Magdalena entre El Plato y Calamar,0.002894033837934105
Rio Salado y otros directos Cauca,0.002894033837934105
Bajo Guaviare,0.0026714158504007124
Río La Miel (Samaná),0.0026714158504007124
Directos Bajo Meta entre ríos Casanare y Orinoco,0.0026714158504007124
Directos al Cauca entre Pto Valdivia y Río Nechí,0.0026714158504007124
Río Palacé,0.0026714158504007124
Ríos Tulua y Morales,0.0026714158504007124
San Andres,0.0026714158504007124
Directos al Río Meta entre ríos Cusiana y Carare,0.0024487978628673196
Río Quinamayo y otros directos al Cauca,0.0024487978628673196
Alto Atrato,0.0024487978628673196
Río Suaza,0.0024487978628673196
Río Ancho y Otros Directos al caribe,0.0024487978628673196
Directos Pacifico Frontera Panamá,0.0024487978628673196
Caño Guanápalo y otros directos al Meta,0.0024487978628673196
Río Túa y otros directos al Meta,0.0024487978628673196
Río Pauto,0.002226179875333927
Río Piendamo,0.002226179875333927
Rio Guachaca - Mendiguaca y Buritaca,0.002226179875333927
Río Seco y otros Directos al Magdalena,0.002226179875333927
Río Quito,0.002226179875333927
Ríos Calima y  Bajo San Juan,0.002226179875333927
Directos al Magdalena Medio entre ríos Negro,0.002226179875333927
Alto Guaviare,0.002226179875333927
Río Upía,0.002226179875333927
Alto San Jorge,0.002226179875333927
Río Humea,0.002003561887800534
Río Atá,0.002003561887800534
Directos Magdalena entre ríos Cabrera y Sumapaz,0.002003561887800534
Río Putumayo Bajo,0.002003561887800534
Río Guayas,0.002003561887800534
Ríos Chimicuica y Corozal,0.002003561887800534
Río Guarinó,0.002003561887800534
Río Guejar,0.002003561887800534
Río Caqueta Medio,0.002003561887800534
Río Timaná y otros directos al Magdalena,0.002003561887800534
Río Amoyá,0.0017809439002671415
Ríos Claro y Jamundí,0.0017809439002671415
Río Patia Medio,0.0017809439002671415
Río Murrí,0.0017809439002671415
"Río Tetuán, Río Ortega",0.0017809439002671415
Ríos Amaime y Cerrito,0.0017809439002671415
Río Putumayo Medio,0.0017809439002671415
Providencia,0.0017809439002671415
Río Putumayo Directos (mi),0.0017809439002671415
Río Cabi y otros Directos Atrato (md),0.0017809439002671415
Río Manacacias,0.0017809439002671415
Río Tarra,0.001558325912733749
Directos al Bajo Nechí (mi),0.001558325912733749
Río Sipí,0.001558325912733749
Río Ovejas,0.001558325912733749
Río Rosario,0.001558325912733749
Directos Río Arauca (md),0.001558325912733749
Directos al Río Meta entre ríos Humea y Upia (mi),0.001558325912733749
Río Telembí,0.0013357079252003562
Río Guayabero,0.0013357079252003562
Río Pescado,0.0013357079252003562
Río Mayo,0.0013357079252003562
Río Salaquí  y otros directos Bajo Atrato,0.0013357079252003562
Río San Juan Alto,0.0013357079252003562
Río Tapias,0.0013357079252003562
Río Ariporo,0.0013357079252003562
Rios Las Cañas - Los Micos y Obando,0.0013357079252003562
Directos Atrato entre ríos Quito y Bojayá (mi),0.0013357079252003562
Río Tuparro,0.0013357079252003562
Río Bugalagrande,0.0011130899376669634
Río Paila,0.0011130899376669634
Río Cobugón - Río Cobaría,0.0011130899376669634
Directos Magdalena entre Ríos Guarinó y La Miel,0.0011130899376669634
Río Tolo y otros Directos al Caribe,0.0011130899376669634
Directos Magdalena Medio entre ríos La Miel y Nare,0.0011130899376669634
Medio Saldaña,0.0011130899376669634
Bajo Catatumbo,0.0011130899376669634
Río Tanela y otros Directos al Caribe,0.0011130899376669634
Río Guapi,0.0011130899376669634
Directos Rio Metica entre ríos Guayuriba y Yucao,0.0011130899376669634
Directos Bajo Cauca - Cga La Raya entre río Nechí,0.0011130899376669634
Rio Canalete y otros Arroyos Directos al Caribe,0.0011130899376669634
"Ríos Lilí, Melendez y Canaveralejo",0.0008904719501335708
Directos Atrato entre ríos Bebaramá y Murrí (md),0.0008904719501335708
Río Andágueda,0.0008904719501335708
Directos Orinoco entre ríos Tomo y Meta (mi),0.0008904719501335708
Ríos Cali,0.0008904719501335708
Directos al Magdalena entre Ríos Seco y Negro (md),0.0008904719501335708
Río Baudó,0.0008904719501335708
Río Docampadó y Directos Pacífico,0.0008904719501335708
Río Margua,0.0008904719501335708
Directos al Río Meta entre ríos Pauto y Carare,0.0008904719501335708
Río Camarones y otros directos Caribe,0.0008904719501335708
Río Caguan Bajo,0.0006678539626001781
Río Frío,0.0006678539626001781
Río Patia Bajo,0.0006678539626001781
Río Desbaratado,0.0006678539626001781
Río Guacavía,0.0006678539626001781
Río Timba,0.0006678539626001781
"Ríos Guabas,Sabaletas y Sonso",0.0006678539626001781
Caño Matavén,0.0006678539626001781
Río Caguan Alto,0.0006678539626001781
Bajo Vichada,0.0006678539626001781
Río Opía,0.0006678539626001781
Río Saija,0.0006678539626001781
Río Yucao,0.0006678539626001781
Ríos Guadalajara y San Pedro,0.0006678539626001781
Río Murindó - Directos al Atrato,0.0006678539626001781
Río San Juan Medio,0.0006678539626001781
Río Igará-Paraná,0.0004452359750667854
Río Cará-Paraná,0.0004452359750667854
Directos Bajo Atrato entre río Sucio y desembocadura,0.0004452359750667854
"R._Inírida_(mi),_hasta_bocas_Caño_Bocón,_y_R._Las Viñas",0.0004452359750667854
Río Cotuhe,0.0004452359750667854
Río San_Miguel,0.0004452359750667854
Caño Lioni o Terecay,0.0004452359750667854
Alto Río Tomo,0.0004452359750667854
Río Melúa,0.0004452359750667854
Río Tapaje,0.0004452359750667854
Río Bebaramá y otros Directos Atrato (md),0.0004452359750667854
Ríos Cajambre - Mayorquín - Raposo,0.0004452359750667854
Río Capoma y otros directos al San Juan,0.0004452359750667854
Bajo Río Tomo,0.0004452359750667854
Río Naya - Yurumanguí,0.0004452359750667854
Rios Arroyohondo - Yumbo - Mulalo - Vijes - Yotoco,0.0004452359750667854
Río Muco,0.0002226179875333927
Río Bojabá,0.0002226179875333927
Río Socuavo del Norte y Río Socuavo Sur,0.0002226179875333927
Río Querary,0.0002226179875333927
Río Inírida Alto,0.0002226179875333927
Bajo Río Apaporis,0.0002226179875333927
Río Cajón,0.0002226179875333927
Directos al Meta entre ríos Cusiana y Cravo Sur,0.0002226179875333927
Río San Juan (Frontera Ecuador),0.0002226179875333927
Río Cravo Norte,0.0002226179875333927
Río Bojayá,0.0002226179875333927
Río Don Diego,0.0002226179875333927
Río Timbiquí,0.0002226179875333927
Roncador y Quitasueño,0.0002226179875333927
Río Mesay,0.0002226179875333927
Río Guape,0.0002226179875333927
Río Napipí - Río Opogadó,0.0002226179875333927
Río Vita,0.0002226179875333927
Río del Suroeste y directos Río de Oro,0.0002226179875333927
Río Anchicayá,0.0002226179875333927
Río Cuñare,0.0002226179875333927
