AREA_OPERATIVA,Activa,En Mantenimiento,Suspendida
Area Operativa 01 - Antioquia-Chocó,271.0,,203.0
Area Operativa 02 - Atlántico-Bolivar-Sucre,290.0,,260.0
Area Operativa 03 - Meta-Guaviare-Guainía,177.0,3.0,106.0
Area Operativa 04 - Huila-Caquetá,202.0,5.0,140.0
Area Operativa 05 - Magdalena-Cesar-Guajira,244.0,1.0,203.0
Area Operativa 06 - Boyacá-Casanare-Vichada,263.0,1.0,117.0
Area Operativa 07 - Nariño-Putumayo,203.0,1.0,91.0
Area Operativa 08 - Santanderes-Arauca,291.0,1.0,313.0
Area Operativa 09 - Cauca-Valle-Caldas,293.0,3.0,153.0
Area Operativa 10 - Tolima,197.0,,135.0
Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,212.0,2.0,111.0
