DEPARTAMENTO,Activa,En Mantenimiento,Suspendida
Amazonas,35.0,,17.0
Antioquia,222.0,,172.0
Arauca,17.0,,18.0
"Archipiélago de San Andres, Providencia y Santa Catalina",14.0,,7.0
Atlantico,34.0,,35.0
Bogotá,28.0,,39.0
Bolívar,119.0,,135.0
Boyacá,214.0,1.0,103.0
Caldas,60.0,,31.0
Caquetá,32.0,3.0,18.0
Casanare,49.0,,22.0
Cauca,144.0,1.0,76.0
Cesar,93.0,,80.0
Chocó,74.0,,34.0
Cundinamarca,179.0,2.0,66.0
Córdoba,91.0,,91.0
Guainía,9.0,,3.0
Guaviare,10.0,,7.0
Huila,137.0,2.0,102.0
La Guajira,93.0,1.0,77.0
Magdalena,91.0,,59.0
Meta,88.0,2.0,64.0
Nariño,101.0,1.0,27.0
Norte de Santander,102.0,,122.0
Putumayo,40.0,,35.0
Quindío,10.0,1.0,1.0
RIsaralda,42.0,,38.0
Santander,151.0,1.0,141.0
Sucre,50.0,,24.0
Tolima,169.0,,120.0
Valle del Cauca,99.0,1.0,48.0
Vaupes,15.0,,3.0
Vichada,31.0,1.0,17.0
