CHParamID,CHIntervaloID,Station,StatName,Julian,Month,Day,CX,CY,CZ,Var
1,5,25020230,La Jagua,15,1,15,1081025.869,1549281.92,170,26.84473361
1,5,25020230,La Jagua,46,2,15,1081025.869,1549281.92,170,44.64573628
1,5,25020230,La Jagua,74,3,15,1081025.869,1549281.92,170,88.06681752
1,5,25020230,La Jagua,105,4,15,1081025.869,1549281.92,170,156.8301887
1,5,25020230,La Jagua,135,5,15,1081025.869,1549281.92,170,264.0613596
1,5,25020230,La Jagua,166,6,15,1081025.869,1549281.92,170,180.5748716
1,5,25020230,La Jagua,196,7,15,1081025.869,1549281.92,170,129.0868336
1,5,25020230,La Jagua,227,8,15,1081025.869,1549281.92,170,202.0674661
1,5,25020230,La Jagua,258,9,15,1081025.869,1549281.92,170,254.7411356
1,5,25020230,La Jagua,288,10,15,1081025.869,1549281.92,170,296.5720607
1,5,25020230,La Jagua,319,11,15,1081025.869,1549281.92,170,231.3761526
1,5,25020230,La Jagua,349,12,15,1081025.869,1549281.92,170,58.29853304
1,5,25020240,El Canal,15,1,15,1020548.494,1532422.634,70,11.70188679
1,5,25020240,El Canal,46,2,15,1020548.494,1532422.634,70,32.84161388
1,5,25020240,El Canal,74,3,15,1020548.494,1532422.634,70,62.02075472
1,5,25020240,El Canal,105,4,15,1020548.494,1532422.634,70,146.8924528
1,5,25020240,El Canal,135,5,15,1020548.494,1532422.634,70,200.4773585
1,5,25020240,El Canal,166,6,15,1020548.494,1532422.634,70,137.7358491
1,5,25020240,El Canal,196,7,15,1020548.494,1532422.634,70,107.509434
1,5,25020240,El Canal,227,8,15,1020548.494,1532422.634,70,204.3577797
1,5,25020240,El Canal,258,9,15,1020548.494,1532422.634,70,226.6207547
1,5,25020240,El Canal,288,10,15,1020548.494,1532422.634,70,274.5471698
1,5,25020240,El Canal,319,11,15,1020548.494,1532422.634,70,224.8132075
1,5,25020240,El Canal,349,12,15,1020548.494,1532422.634,70,56.69811321
1,5,25020250,Curumani,15,1,15,1058858.053,1508871.889,100,21.3754717
1,5,25020250,Curumani,46,2,15,1058858.053,1508871.889,100,42.19056604
1,5,25020250,Curumani,74,3,15,1058858.053,1508871.889,100,84.2498625
